구명,시설분류,주차장명,사용상태,충전기타입,수집시간,동
강남구,관광시설,SETEC,사용가능,급속,2021-08-20 09:33:25.499833,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-20 11:33:08.664560,대치동
강남구,관광시설,SETEC,사용중,급속,2021-08-20 13:02:22.432364,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-20 14:28:20.398311,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-20 15:29:26.396458,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-20 16:28:54.955696,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-20 17:37:10.825903,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-20 18:56:52.852383,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-20 20:06:43.303323,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-20 21:00:00.050311,대치동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-20 09:33:15.771013,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-20 11:33:00.936535,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-20 13:02:14.663690,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-20 14:28:12.494627,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-20 15:29:18.965668,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-20 16:28:47.267959,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-20 17:37:03.530331,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-20 18:56:45.362105,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-20 20:06:35.879862,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-20 20:59:52.764640,개포동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-20 09:33:15.771013,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-20 11:33:00.936535,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-20 13:02:14.663690,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-20 14:28:12.494627,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-20 15:29:18.965668,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-20 16:28:47.267959,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-20 17:37:03.530331,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-20 18:56:45.362105,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-20 20:06:35.879862,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용불가,급속,2021-08-20 20:59:52.764640,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-20 09:33:19.847835,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-20 11:33:03.812551,삼성동
