구명,시설분류,주차장명,사용상태,충전기타입,수집시간,동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 10:13:38.885080,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 11:13:45.572375,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 12:27:41.521462,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 13:52:57.470021,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 15:13:02.771739,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 16:22:51.645536,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 17:29:50.431536,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 18:19:31.899095,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 19:21:57.051284,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 20:17:20.264606,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 21:03:17.918044,대치동
강남구,관광시설,SETEC,사용중,급속,2021-08-13 22:05:46.786123,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-13 23:52:38.408878,대치동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 10:13:28.118352,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 11:13:37.846856,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 12:27:34.072470,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 13:52:49.961851,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 15:12:55.284525,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 16:22:43.763486,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 17:29:42.920728,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 18:19:24.628018,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 19:21:49.718208,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 20:17:12.960342,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 21:03:10.364514,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 22:05:39.337940,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-13 23:52:29.926863,개포동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 10:13:28.118352,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 11:13:37.846856,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 12:27:34.072470,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 13:52:49.961851,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 15:12:55.284525,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 16:22:43.763486,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 17:29:42.920728,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 18:19:24.628018,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 19:21:49.718208,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 20:17:12.960342,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 21:03:10.364514,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 22:05:39.337940,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-13 23:52:29.926863,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-13 10:13:32.201279,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용중,급속,2021-08-13 11:13:40.632954,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-13 12:27:36.775706,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-13 13:52:52.702229,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-13 15:12:58.010340,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-13 16:22:46.610208,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-13 17:29:45.640801,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-13 18:19:27.146359,삼성동
