구명,시설분류,주차장명,사용상태,충전기타입,수집시간
강남구,관광시설,SETEC,사용가능,급속,2021-08-14 08:59:01.727268
강남구,관광시설,SETEC,사용가능,급속,2021-08-14 10:57:29.485428
강남구,관광시설,SETEC,사용가능,급속,2021-08-14 12:27:26.207987
강남구,관광시설,SETEC,사용가능,급속,2021-08-14 13:27:29.595148
강남구,관광시설,SETEC,사용가능,급속,2021-08-14 13:57:26.586682
강남구,관광시설,SETEC,사용중,급속,2021-08-14 14:28:47.557899
강남구,관광시설,SETEC,사용중,급속,2021-08-14 15:04:02.343448
강남구,관광시설,SETEC,사용가능,급속,2021-08-14 16:03:17.549238
강남구,관광시설,SETEC,사용중,급속,2021-08-14 18:03:18.133090
강남구,관광시설,SETEC,사용가능,급속,2021-08-14 19:03:17.284494
강남구,관광시설,SETEC,사용가능,급속,2021-08-14 20:03:22.022438
강남구,관광시설,SETEC,사용가능,급속,2021-08-14 21:03:15.780651
강남구,관광시설,SETEC,사용중,급속,2021-08-14 22:03:17.973930
강남구,관광시설,SETEC,사용가능,급속,2021-08-14 23:11:43.412483
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 08:58:09.261408
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 10:57:21.748440
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 12:27:18.744747
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 13:27:20.982705
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 13:57:18.561676
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 14:28:40.184978
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 15:03:51.268432
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 16:03:10.183358
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 18:03:10.073617
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 19:03:09.865566
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 20:03:13.110172
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 21:03:08.458486
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 22:03:10.425561
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-14 23:11:34.147346
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 08:58:09.261408
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 10:57:21.748440
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 12:27:18.744747
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 13:27:20.982705
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 13:57:18.561676
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 14:28:40.184978
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 15:03:51.268432
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 16:03:10.183358
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 18:03:10.073617
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 19:03:09.865566
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 20:03:13.110172
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용가능,급속,2021-08-14 21:03:08.458486
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 22:03:10.425561
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-14 23:11:34.147346
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 08:58:48.125388
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 10:57:24.602405
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 12:27:21.502291
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 13:27:24.372248
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 13:57:21.558014
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 14:28:42.781887
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 15:03:54.775635
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 16:03:12.788739
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 18:03:13.162798
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 19:03:12.641242
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 20:03:16.367990
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 21:03:11.038657
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 22:03:13.178636
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-14 23:11:37.716813
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 08:58:48.125388
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 10:57:24.602405
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 12:27:21.502291
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 13:27:24.372248
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 13:57:21.558014
강남구,주차시설,개포동공원 공영주차장,사용중,급속,2021-08-14 14:28:42.781887
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 15:03:54.775635
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 16:03:12.788739
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 18:03:13.162798
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 19:03:12.641242
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 20:03:16.367990
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 21:03:11.038657
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 22:03:13.178636
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-14 23:11:37.716813
강남구,상업시설,노보텔,사용가능,급속,2021-08-14 08:59:06.307458
강남구,상업시설,노보텔,사용가능,급속,2021-08-14 10:57:31.924216
강남구,상업시설,노보텔,사용가능,급속,2021-08-14 12:27:28.585742
강남구,상업시설,노보텔,사용가능,급속,2021-08-14 13:27:32.048349
강남구,상업시설,노보텔,사용가능,급속,2021-08-14 13:57:29.193109
