구명,시설분류,주차장명,사용상태,충전기타입,수집시간
강남구,기타시설,(사)국가안보전략연구원,사용중,완속,2021-08-23 10:21:18.011482
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 11:56:28.216088
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 12:55:27.268442
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 13:46:06.116695
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 14:20:14.907467
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 15:26:45.972287
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 16:23:16.806712
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 18:04:00.410372
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 19:04:05.676932
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 20:04:38.262062
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 21:04:46.080157
강남구,기타시설,(사)국가안보전략연구원,사용가능,완속,2021-08-23 23:43:30.630908
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 10:20:55.920697
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 11:54:41.801190
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 12:53:50.101462
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 13:45:44.240432
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 14:19:52.764406
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 15:24:48.570271
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 16:21:22.957921
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 18:02:14.468836
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 19:02:31.496495
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 20:02:43.045538
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 21:04:23.997137
강남구,공동주택시설,GS강동자이 아파트,상태미확인(제한),완속,2021-08-23 23:41:55.017437
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 10:19:13.226962
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 11:53:37.389727
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 12:52:51.924807
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 13:45:18.983205
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 14:19:28.102046
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 15:23:42.429466
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 16:20:13.015153
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 18:01:16.180906
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 19:01:35.373339
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 20:01:40.973282
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 21:03:59.627550
강남구,상업시설,GS타워주유소,상태미확인,급속,2021-08-23 23:40:51.772529
강남구,공동주택시설,LG개포자이아파트,사용가능,완속,2021-08-23 10:20:55.920697
강남구,공동주택시설,LG개포자이아파트,사용가능,완속,2021-08-23 11:54:41.801190
강남구,공동주택시설,LG개포자이아파트,사용가능,완속,2021-08-23 12:53:50.101462
강남구,공동주택시설,LG개포자이아파트,사용가능,완속,2021-08-23 13:45:44.240432
강남구,공동주택시설,LG개포자이아파트,사용가능,완속,2021-08-23 14:19:52.764406
강남구,공동주택시설,LG개포자이아파트,사용가능,완속,2021-08-23 15:24:48.570271
강남구,공동주택시설,LG개포자이아파트,사용중,완속,2021-08-23 16:21:22.957921
