구명,시설분류,주차장명,사용상태,충전기타입,수집시간,동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 09:38:22.819315,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 10:35:15.901991,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 11:35:12.798199,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 12:35:12.415314,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 14:24:25.176385,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 15:35:12.762918,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 16:35:14.691987,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 17:35:13.459855,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 19:23:33.131051,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 20:35:16.633088,대치동
강남구,관광시설,SETEC,사용가능,급속,2021-08-17 22:32:43.246239,대치동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 09:38:00.689344,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 10:35:08.079637,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 11:35:05.199374,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 12:35:04.704098,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 14:24:17.563481,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 15:35:04.959958,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 16:35:06.572122,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 17:35:05.945964,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 19:23:25.119066,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 20:35:08.507112,개포동
강남구,공공시설,sh서울주택도시공사,사용가능,급속,2021-08-17 22:32:36.012238,개포동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 09:38:00.689344,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 10:35:08.079637,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 11:35:05.199374,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 12:35:04.704098,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 14:24:17.563481,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 15:35:04.959958,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 16:35:06.572122,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 17:35:05.945964,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 19:23:25.119066,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 20:35:08.507112,삼성동
강남구,공공시설,강남구청 삼성로 별관 부설 주차장,사용중,급속,2021-08-17 22:32:36.012238,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 09:38:05.372553,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 10:35:10.910400,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 11:35:07.871344,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 12:35:07.602239,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 14:24:20.344305,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 15:35:07.687590,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 16:35:09.453450,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 17:35:08.699110,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 19:23:28.330560,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 20:35:11.482465,삼성동
강남구,주차시설,강남치매지원센터 공영노외주차장,사용가능,급속,2021-08-17 22:32:38.545148,삼성동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 09:38:05.372553,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 10:35:10.910400,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 11:35:07.871344,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 12:35:07.602239,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 14:24:20.344305,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 15:35:07.687590,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 16:35:09.453450,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 17:35:08.699110,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 19:23:28.330560,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 20:35:11.482465,개포동
강남구,주차시설,개포동공원 공영주차장,사용가능,급속,2021-08-17 22:32:38.545148,개포동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 09:38:25.291913,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 10:35:18.256333,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 11:35:15.239206,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 12:35:14.792128,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 14:24:27.546045,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 15:35:15.239644,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 16:35:17.110157,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 17:35:15.934775,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 19:23:35.501845,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 20:35:19.312561,역삼동
강남구,상업시설,노보텔,사용가능,급속,2021-08-17 22:32:45.673807,역삼동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-17 09:38:05.372553,개포동
강남구,주차시설,논현로22길 공영주차장,사용중,급속,2021-08-17 10:35:10.910400,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-17 11:35:07.871344,개포동
강남구,주차시설,논현로22길 공영주차장,사용중,급속,2021-08-17 12:35:07.602239,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-17 14:24:20.344305,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-17 15:35:07.687590,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-17 16:35:09.453450,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-17 17:35:08.699110,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-17 19:23:28.330560,개포동
강남구,주차시설,논현로22길 공영주차장,사용가능,급속,2021-08-17 20:35:11.482465,개포동
강남구,주차시설,논현로22길 공영주차장,사용중,급속,2021-08-17 22:32:38.545148,개포동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-17 09:38:05.372553,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-17 10:35:10.910400,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-17 11:35:07.871344,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-17 12:35:07.602239,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-17 14:24:20.344305,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-17 15:35:07.687590,논현동
강남구,주차시설,논현초교 공영노외주차장,사용중,급속,2021-08-17 16:35:09.453450,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-17 17:35:08.699110,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-17 19:23:28.330560,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-17 20:35:11.482465,논현동
강남구,주차시설,논현초교 공영노외주차장,사용가능,급속,2021-08-17 22:32:38.545148,논현동
강남구,주차시설,대청역 공영주차장,사용중,급속,2021-08-17 09:38:05.372553,개포동
강남구,주차시설,대청역 공영주차장,사용가능,급속,2021-08-17 10:35:10.910400,개포동
